Tenor,Expiry,Fwd,Strike,Vol
2,5,0.028436364,100,0.2873
2,10,0.033873471,100,0.2161
5,0.25,0.01601749,100,0.371
5,0.5,0.01680246,100,0.3801
5,0.75,0.017681947,100,0.3719
5,1,0.018623226,100,0.3699
5,2,0.022384186,100,0.3438
5,5,0.030538725,100,0.2617
5,10,0.033460207,100,0.2115
10,0.25,0.02299003,100,0.3128
10,0.5,0.023535063,100,0.3202
10,0.75,0.02411912,100,0.3121
10,1,0.02472472,100,0.3058
10,2,0.027193323,100,0.2885
10,5,0.031883549,100,0.2435
10,10,0.031009202,100,0.2259
15,0.25,0.026332222,100,0.2616
15,0.5,0.026549479,100,0.2766
15,0.75,0.026784261,100,0.2785
15,1,0.027026331,100,0.2821
15,2,0.027948737,100,0.2771
15,5,0.029244346,100,0.2469
15,10,0.027080947,100,0.2288
30,0.25,0.025244793,100,0.2832
30,0.5,0.025399329,100,0.2952
30,0.75,0.02556703,100,0.2947
30,1,0.025740162,100,0.2939
30,2,0.026399841,100,0.2942
30,5,0.027290758,100,0.2641
30,10,0.025954115,100,0.233
3.75,2.2,0.03,100,0.3967
2,0.25,0.010763833,150,0.4495
2,0.5,0.011099189,150,0.4576
2,0.75,0.011602429,150,0.4463
2,1,0.012193564,150,0.4754
2,2,0.016195984,150,0.4442
2,5,0.028436364,150,0.287
2,10,0.033873471,150,0.2128
5,0.25,0.01601749,150,0.3725
5,0.5,0.01680246,150,0.3785
5,0.75,0.017681947,150,0.3692
5,1,0.018623226,150,0.3668
5,2,0.022384186,150,0.338
5,5,0.030538725,150,0.2572
5,10,0.033460207,150,0.2083
10,0.25,0.02299003,150,0.3121
10,0.5,0.023535063,150,0.3207
10,0.75,0.02411912,150,0.311
10,1,0.02472472,150,0.3008
10,2,0.027193323,150,0.282
10,5,0.031883549,150,0.24
10,10,0.031009202,150,0.2218
15,0.25,0.026332222,150,0.2603
15,0.5,0.026549479,150,0.2725
15,0.75,0.026784261,150,0.2736
15,1,0.027026331,150,0.2759
15,2,0.027948737,150,0.2725
15,5,0.029244346,150,0.2458
15,10,0.027080947,150,0.2239
30,0.25,0.025244793,150,0.2811
30,0.5,0.025399329,150,0.2913
30,0.75,0.02556703,150,0.29
30,1,0.025740162,150,0.286
30,2,0.026399841,150,0.2876
30,5,0.027290758,150,0.2614
30,10,0.025954115,150,0.2286
3.75,2.2,0.03,150,0.418
